clf,params,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_test_score,std_test_score,rank_test_score
LogisticIT(),"{'clf__alpha': 0.1, 'clf__max_iter': 500.0}",249.0957126617432,94.74922038075492,8.118491411209106,5.193504093054428,0.7862427486035078,0.0129510232489189,2
LogisticIT(),"{'clf__alpha': 1.0, 'clf__max_iter': 500.0}",254.0857347647349,92.49522020377428,6.525710662206014,4.867086899339458,0.787219912137263,0.0121857184342925,1
RandomForestClassifier(random_state=42),"{'clf__class_weight': 'balanced', 'clf__max_depth': 15, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",38.16180427869161,18.73331706957976,3.3219180901845298,0.4135860377402837,0.7926211679276682,0.0108384731602421,4
RandomForestClassifier(random_state=42),"{'clf__class_weight': 'balanced', 'clf__max_depth': 15, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 250}",98.66882991790771,46.320087612251136,5.54389492670695,0.435307074183732,0.8023407493804496,0.0111838616715371,1
RandomForestClassifier(random_state=42),"{'clf__class_weight': 'balanced', 'clf__max_depth': 15, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 100}",42.84981536865234,22.04096614510632,3.5905532836914062,0.6289503604526787,0.7939570366902439,0.0147863822038196,3
RandomForestClassifier(random_state=42),"{'clf__class_weight': 'balanced', 'clf__max_depth': 15, 'clf__min_samples_leaf': 3, 'clf__n_estimators': 250}",98.61953488985698,35.43061002755166,4.900587161382039,1.3215127282787416,0.7998881428764011,0.0100354716056454,2
"LGBMOrdinal(random_state=42, verbosity=-1)","{'clf__learning_rate': 0.1, 'clf__max_depth': 5.0, 'clf__n_estimators': 100.0, 'clf__reg_lambda': 0.1}",13.07597835858663,7.255900810413356,2.403972943623861,0.46086504415418034,0.8335023967128646,0.015465206166719942,12
"LGBMOrdinal(random_state=42, verbosity=-1)","{'clf__learning_rate': 0.1, 'clf__max_depth': 5.0, 'clf__n_estimators': 100.0, 'clf__reg_lambda': 1.0}",12.5805877049764,6.9945752746175005,2.457927624384562,0.4588613716905088,0.8342307000544631,0.01550795959938427,10
"LGBMOrdinal(random_state=42, verbosity=-1)","{'clf__learning_rate': 0.1, 'clf__max_depth': 5.0, 'clf__n_estimators': 200.0, 'clf__reg_lambda': 0.1}",13.72236434618632,6.994210888488619,2.368929068247477,0.21730797108111027,0.834339678578722,0.015647491796614482,9
"LGBMOrdinal(random_state=42, verbosity=-1)","{'clf__learning_rate': 0.1, 'clf__max_depth': 5.0, 'clf__n_estimators': 200.0, 'clf__reg_lambda': 1.0}",15.015629688898722,5.687810016913494,2.804619312286377,0.22826073261558125,0.8342287661722851,0.01599151162488237,11
"LGBMOrdinal(random_state=42, verbosity=-1)","{'clf__learning_rate': 0.1, 'clf__max_depth': 7.0, 'clf__n_estimators': 100.0, 'clf__reg_lambda': 0.1}",15.325062910715738,6.061854085392224,2.475959062576294,0.07066829053586275,0.8349350409329751,0.015360886154073588,4
"LGBMOrdinal(random_state=42, verbosity=-1)","{'clf__learning_rate': 0.1, 'clf__max_depth': 7.0, 'clf__n_estimators': 100.0, 'clf__reg_lambda': 1.0}",17.09172209103902,8.203622041448176,2.77866530418396,0.31404209835687247,0.8349912323764125,0.015241371707756926,3
